id,start_time,end_time,awake,deep,light,stages,deleted,manually
115,1523567580,1523596500,0,216,266,26L76D14L36D4L14D41L39D55L19D58L32D68L,0,0
116,1523655300,1523684760,0,193,298,31L53D5L10D6L12D14L29D4L12D43L46D46L10D92L11D49L10D8L,0,0
117,1523741160,1523771580,0,239,268,20L44D2L10D3L11D10L20D3L18D7L13D8L12D28L47D5L10D21L11D3L16D83L13D67L14D8L,0,0
118,1523828460,1523856180,0,236,226,10L47D17L71D7L11D54L14D4L14D37L12D10L28D7L19D27L10D8L10D45L,0,0
119,1523914920,1523940420,0,222,203,63L48D4L14D8L64D2L14D9L11D8L48D35L11D21L12D53L,0,0
120,1524000960,1524026520,0,180,246,30L55D31L23D31L13D32L23D20L14D34L40D52L12D16L,0,0
121,1524084900,1524111960,0,230,221,41L28D7L11D4L45D2L34D19L16D12L13D9L30D25L16D13L23D88L14D1L,0,0
122,1524172200,1524199800,37,166,256,31L25D39L31D8L14D2L11D18L43D6L37A97L16D11L11D44L15D,0,0
123,1524256380,1524286500,0,226,276,30L15D4L18D2L10D11L72D41L15D2L16D32L16D2L10D2L44D22L10D128L,0,0
124,1524346140,1524373380,0,304,150,24L43D2L50D2L48D20L11D8L22D20L81D13L10D3L13D21L26D37L,0,0
125,1524415080,1524421140,0,74,27,18L25D9L49D,0,0
126,1524428820,1524460380,0,248,278,10L25D6L12D3L67D7L24D15L13D2L33D11L11D6L10D23L13D2L13D163L15D26L12D4L,0,0
